,news_id,tweet_id,reply_id
0,17,1255484783884369921,1254913226325872642
2,17,1255484783884369921,1255484999203258370
6,26,1249534887691984897,1249540796308762626
7,26,1249534887691984897,1249555510103289858
8,26,1249534887691984897,1249556554073939969
9,26,1249534887691984897,1249639179954409473
10,26,1249534887691984897,1249535976843677698
11,26,1249534887691984897,1249535999379673088
12,26,1249534887691984897,1249920095050010625
13,26,1249534887691984897,1249697278417403912
16,26,1249534887691984897,1249800131643351041
22,26,1247680031423254529,1247689195486720000
30,38,1249754108107485189,1249756159428431872
31,38,1249754108107485189,1249758816582938629
32,38,1249754108107485189,1249756036283731968
33,38,1249754108107485189,1249756489046208512
35,38,1249754108107485189,1249754970020360193
36,38,1249754108107485189,1249755702303830016
39,38,1249754108107485189,1249756158732013569
41,38,1249755471080239106,1249803365095215106
43,38,1249755471080239106,1249756261920333824
44,38,1249755471080239106,1249757968238891008
45,38,1249755471080239106,1249773266505535494
46,38,1249755471080239106,1249764054811508736
47,38,1249803379754369027,1249803818373529600
49,38,1249803379754369027,1249806127740657670
50,38,1249803379754369027,1249807470517682178
51,38,1250053681665507330,1250054284915412992
52,38,1249766660916932614,1249768261161562112
53,38,1249766660916932614,1249768226730450945
54,38,1249835439927762945,1249837641949904896
55,38,1249792092030853120,1249795734087413761
57,46,1249536744686583808,1249543847908184064
58,46,1249536744686583808,1249820724862357505
59,46,1249536744686583808,1249829019933200384
62,46,1249536744686583808,1250033794440204289
63,46,1249536744686583808,1249773809936347136
65,46,1249536744686583808,1250070850675539968
66,46,1249536744686583808,1250307358082752512
68,46,1249536744686583808,1249871724134326272
69,46,1249536744686583808,1256944626952437767
70,46,1249536744686583808,1249876025535647744
71,46,1249536744686583808,1250029224402071555
72,46,1249536744686583808,1249744249916178436
73,46,1249536744686583808,1249929357482700800
74,46,1249536744686583808,1250004134293426177
78,46,1249536744686583808,1249614191582793728
83,46,1249536744686583808,1249672824072986624
85,46,1249536744686583808,1249787005434769410
86,46,1249536744686583808,1249740089204379650
92,46,1249536744686583808,1249932909638635520
96,46,1249752872889331716,1249759313049948160
98,46,1249752872889331716,1249800988829069321
100,46,1249752872889331716,1249776069999124480
101,46,1249752872889331716,1249957922295230464
103,46,1249752872889331716,1249755510384889856
104,46,1249752872889331716,1249807793491714049
107,46,1249752872889331716,1249753200577691651
109,46,1249752872889331716,1249770262696022024
114,46,1249752872889331716,1249758970056560642
117,46,1249752872889331716,1249766082774216711
118,46,1249752872889331716,1249772678937866248
122,46,1249756536601300992,1249881585127690240
124,46,1249756536601300992,1249757059438063616
127,46,1249756536601300992,1249766745553793025
128,46,1249756536601300992,1249826110101237763
129,46,1249756536601300992,1249864325092634625
130,46,1249756536601300992,1249872443008843785
132,46,1249756536601300992,1249878287926493184
133,46,1249756536601300992,1249872458901004288
135,46,1249756536601300992,1250214361315991553
137,46,1249756536601300992,1249776945216270336
138,46,1249756536601300992,1249808900355956747
141,46,1249756536601300992,1249867414000541696
